ts_utc,h1_bar_utc,h4_bar_close_utc,pair,h1_state,h1_dir,h1_gap_h4,h1_down_run,h4_bias,h4_tipo,h4_stato,h4_score,h4_spread,h4_event
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,AUDUSD,-,,,,LONG,RESUME,ATTIVO,100,1.09,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.1,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,CHFJPY,RIPRESA,LONG,2.5875,0,-,-,NESSUNO,100,2.59,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.43,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,EURJPY,RIPRESA,LONG,1.9219,0,-,-,NESSUNO,88,1.92,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,EURUSD,RIPRESA,LONG,1.5224,0,-,-,NESSUNO,56,1.52,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,69,1.59,
2026-06-16T23:05:34+00:00,2026-06-16T22:00:00+00:00,2026-06-16T21:00:00+00:00,USDCHF,RIPRESA,SHORT,-2.188,0,-,-,NESSUNO,94,2.19,
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,62,1.1,1
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,AUDJPY,RIENTRO,LONG,1.4912,3,LONG,RESUME,ESTESO,100,1.49,
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,AUDUSD,-,,,,LONG,RESUME,ATTIVO,100,1.09,
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.1,
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.43,
2026-06-17T00:05:32+00:00,2026-06-16T23:00:00+00:00,2026-06-16T21:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,69,1.59,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,62,1.38,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,AUDJPY,RIPRESA,LONG,1.1448,0,LONG,RESUME,ESTESO,100,1.14,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,AUDUSD,-,,,,LONG,RESUME,ATTIVO,100,1.18,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.33,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,CHFJPY,RIPRESA,LONG,2.5245,0,-,-,NESSUNO,80,2.52,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,EURCAD,RIPRESA,LONG,1.4971,0,LONG,RESUME,ATTIVO,78,1.5,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,EURGBP,-,,,,LONG,RESUME,ATTIVO,96,1.13,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,EURNZD,-,,,,LONG,RESUME,ATTIVO,75,1.1,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,EURUSD,RIPRESA,LONG,1.7259,0,-,-,NESSUNO,65,1.73,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,69,1.93,
2026-06-17T01:05:33+00:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00+00:00,USDCHF,RIPRESA,SHORT,-2.5575,0,-,-,NESSUNO,80,2.56,
2026-06-17T02:05:31+00:00,2026-06-17T01:00:00+00:00,2026-06-17T01:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,62,1.38,
2026-06-17T02:05:31+00:00,2026-06-17T01:00:00+00:00,2026-06-17T01:00:00+00:00,AUDJPY,-,,,,LONG,RESUME,ESTESO,100,1.14,
